[2026-08-07 10:22:51] INFO - FastDFS v5.11, base_path=/var/fdfs, store_path_count=1, subdir_count_per_path=256, group_name=group1, run_by_group=, run_by_user=, connect_timeout=30s, network_timeout=60s, port=23000, bind_addr=, client_bind=1, max_connections=256, accept_threads=1, work_threads=4, disk_rw_separated=1, disk_reader_threads=1, disk_writer_threads=1, buff_size=256KB, heart_beat_interval=30s, stat_report_interval=60s, tracker_server_count=1, sync_wait_msec=50ms, sync_interval=0ms, sync_start_time=00:00, sync_end_time=23:59, write_mark_file_freq=500, allow_ip_count=-1, file_distribute_path_mode=0, file_distribute_rotate_count=100, fsync_after_written_bytes=0, sync_log_buff_interval=10s, sync_binlog_buff_interval=10s, sync_stat_file_interval=300s, thread_stack_size=512 KB, upload_priority=10, if_alias_prefix=, check_file_duplicate=0, file_signature_method=hash, FDHT group count=0, FDHT server count=0, FDHT key_namespace=, FDHT keep_alive=0, HTTP server port=8888, domain name=, use_access_log=0, rotate_access_log=0, access_log_rotate_time=00:00, rotate_error_log=0, error_log_rotate_time=00:00, rotate_access_log_size=0, rotate_error_log_size=0, log_file_keep_days=0, file_sync_skip_invalid_record=0, use_connection_pool=0, g_connection_pool_max_idle_time=3600s
[2026-08-07 10:23:23] ERROR - file: storage_ip_changed_dealer.c, line: 186, connect to tracker server 10.3.171.67:22122 fail, errno: 113, error info: No route to host
[2026-08-07 10:23:53] ERROR - file: storage_ip_changed_dealer.c, line: 186, connect to tracker server 10.3.171.67:22122 fail, errno: 113, error info: No route to host
[2026-08-07 10:24:24] ERROR - file: storage_ip_changed_dealer.c, line: 186, connect to tracker server 10.3.171.67:22122 fail, errno: 113, error info: No route to host
[2026-08-07 10:24:53] ERROR - file: storage_ip_changed_dealer.c, line: 186, connect to tracker server 10.3.171.67:22122 fail, errno: 113, error info: No route to host
[2026-08-07 10:25:24] ERROR - file: storage_ip_changed_dealer.c, line: 186, connect to tracker server 10.3.171.67:22122 fail, errno: 113, error info: No route to host
[2026-08-07 10:25:55] ERROR - file: storage_ip_changed_dealer.c, line: 186, connect to tracker server 10.3.171.67:22122 fail, errno: 113, error info: No route to host
[2026-08-07 10:26:25] ERROR - file: storage_ip_changed_dealer.c, line: 186, connect to tracker server 10.3.171.67:22122 fail, errno: 113, error info: No route to host
[2026-08-07 10:26:56] ERROR - file: storage_ip_changed_dealer.c, line: 186, connect to tracker server 10.3.171.67:22122 fail, errno: 113, error info: No route to host
[2026-08-07 10:27:26] ERROR - file: storage_ip_changed_dealer.c, line: 186, connect to tracker server 10.3.171.67:22122 fail, errno: 113, error info: No route to host
[2026-08-07 10:28:02] ERROR - file: storage_ip_changed_dealer.c, line: 186, connect to tracker server 10.3.171.67:22122 fail, errno: 113, error info: No route to host
[2026-08-07 10:28:32] ERROR - file: storage_ip_changed_dealer.c, line: 186, connect to tracker server 10.3.171.67:22122 fail, errno: 113, error info: No route to host
[2026-08-07 10:29:08] ERROR - file: storage_ip_changed_dealer.c, line: 186, connect to tracker server 10.3.171.67:22122 fail, errno: 113, error info: No route to host
[2026-08-07 10:29:44] ERROR - file: storage_ip_changed_dealer.c, line: 186, connect to tracker server 10.3.171.67:22122 fail, errno: 113, error info: No route to host
[2026-08-07 10:30:20] ERROR - file: storage_ip_changed_dealer.c, line: 186, connect to tracker server 10.3.171.67:22122 fail, errno: 113, error info: No route to host
[2026-08-07 10:30:50] ERROR - file: storage_ip_changed_dealer.c, line: 186, connect to tracker server 10.3.171.67:22122 fail, errno: 113, error info: No route to host
[2026-08-07 10:31:22] ERROR - file: storage_ip_changed_dealer.c, line: 186, connect to tracker server 10.3.171.67:22122 fail, errno: 113, error info: No route to host
